# R,G,B
0.08568106162494671,0.06052988239969139,0.05325780404858734
0.09003446211235655,0.06297290546214124,0.054881304365639365
0.09428320906553261,0.06577051996509448,0.05697255785922029
0.09837284949154676,0.06861798979413233,0.05915807957699092
0.10231083033160104,0.0714562024020384,0.06136177291498147
0.10610831368590315,0.07426126617371301,0.06355126307610884
0.1097762539527331,0.07702207072084832,0.06571031603507846
0.11335840120929433,0.07971957975263361,0.06783118027445073
0.11704989922485826,0.08227524755193891,0.06991428545634559
0.1208703917433814,0.0846838610740197,0.07195765616621641
0.12475041810443491,0.08705386587742756,0.07394735556731785
0.12865303406966255,0.08944171956544997,0.0758767580187977
0.132576324880867,0.09184585760935132,0.0777469967641656
0.13651849519446455,0.09426501503564874,0.07955951011203338
0.14047784739936417,0.09669817035293404,0.08131589239894119
0.1444528124319545,0.09914446515263889,0.08301783824405673
0.14844191442590793,0.10160319087045272,0.08466705874956704
0.1524437826680062,0.1040737475253159,0.08626526026510273
0.15645715111233652,0.10655562209298605,0.08781412573681499
0.16047872289516818,0.10904863907741144,0.08932311886011904
0.16450038389436134,0.1115532867605741,0.09082052752576131
0.16852144188027904,0.11406921752066462,0.09230786589150847
0.17254169819747622,0.1165960746085575,0.0937849159505412
0.17656098189714253,0.11913353921344186,0.09525152608400855
0.1805791142518665,0.12168133464240805,0.09670756996866531
0.18459594996233972,0.1242392114989484,0.09815298213810747
0.18861133713551326,0.12680695347102963,0.09958771440808237
0.19262515007186856,0.12938436698001685,0.10101176446132212
0.1966372615973147,0.13197128418238957,0.1024251459430445
0.2006475687873982,0.1345675558710731,0.10382791073892667
0.2046559637894041,0.13717305468161994,0.10522011899411249
0.2086623682195335,0.13978766764369321,0.10660186974957553
0.21266669312970132,0.1424113012032297,0.10797326196884555
0.21666887829855558,0.14504387374193098,0.10933442957353381
0.22066886410300623,0.14768531883389527,0.11068551433405771
0.224666595452454,0.15033558359372634,0.11202666887390694
0.22866204024123282,0.15299462505153316,0.11335807187263547
0.23265516637008715,0.15566241278529971,0.11467990711881484
0.23664594503930514,0.1583389277795332,0.11599236624005821
0.2406343700883108,0.16102415879004695,0.11729566411794057
0.24462043592400257,0.16371810514649127,0.11859001992402704
0.24860414404720843,0.16642077527403518,0.11987566235794497
0.25258550111101075,0.16913218661039583,0.12115282793516044
0.25656453038997823,0.17185236311973917,0.12242176931541493
0.26054125729009353,0.17458133740350024,0.1236827439114056
0.2645157144223033,0.17731914949582717,0.12493601767507823
0.2684879413948078,0.18006584657618094,0.1261818647827352
